Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	glutamate receptor signaling pathway (GO:0007215)	37/37	4.5163146470455736e-104	3.924677428282604e-101	0	0	738076.0	175633416.22267362	APP;GRIA2;DAGLA;FMR1;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GRM3;TRPM1;CLN3;GRM2;GRIN2A;GRM5;GRM4;GRM7;GRM6;GRM8;PTK2B;HOMER3;GRIA3;GRIA4;GRID2;HOMER1;HOMER2;KCNB1;GRIN2C;GRIN2B;GRIN1;GRIN3B;GRIN3A;GNAQ;DAGLB;PLCB1;CDK5R1;CPEB4
GO_Biological_Process_2021	G protein-coupled glutamate receptor signaling pathway (GO:0007216)	15/15	1.7906374028355464e-40	7.78031951532045e-38	0	0	299220.0	27384863.372681063	DAGLA;HOMER1;HOMER2;GRIK3;GRM1;GRM3;TRPM1;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;HOMER3;DAGLB
GO_Biological_Process_2021	modulation of chemical synaptic transmission (GO:0050804)	19/109	1.2363005216387393e-30	3.581150511013548e-28	0	0	127.03771043771044	8748.506469104394	APP;GRID2;HOMER1;GRID1;GRIK5;FMR1;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GRM3;GRM2;CLN3;GRM5;GRM4;GRM7;GRM6;GRM8
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	23/306	1.8186155229595974e-28	3.9509422236297257e-26	0	0	55.11088095528208	3520.169334352802	GRIA1;GRIA2;GRID2;HOMER1;GRID1;GRIK5;SLC1A1;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRM1;GRIN1;GRM3;GRM5;GRIN2A;GRM4;GRM7;PLP1;GRIA3;GRIA4
GO_Biological_Process_2021	ionotropic glutamate receptor signaling pathway (GO:0035235)	10/10	5.609070858845749e-27	9.748565152673912e-25	0	0	199480.0	12057650.871003918	APP;CLN3;GRIA2;GRIN3B;GRIN3A;PTK2B;SULT1A3;CDK5R1;CPEB4;GRIN1
GO_Biological_Process_2021	regulation of synaptic transmission, glutamatergic (GO:0051966)	14/46	2.1391983448283408e-26	3.0982722694263803e-24	0	0	229.29605263157896	13552.951627642416	HOMER1;GRIK3;GRIK1;GRM1;GRM3;CLN3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;PTK2B;SHANK3
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	18/244	5.613730476721908e-22	6.969045406101911e-20	0	0	46.19937532535138	2260.6119675481887	GRIA1;GRIA2;HOMER1;SLC1A1;GRIK4;GRIK1;GRIK2;GRIN2B;GRM1;GRIN1;GRM3;GRM5;GRIN2A;GRM4;GRM7;PLP1;GRIA3;GRIA4
GO_Biological_Process_2021	synaptic transmission, glutamatergic (GO:0035249)	8/18	5.089527873641783e-17	5.528499652743387e-15	0	0	362.5090909090909	13600.167108954927	GRIA2;GRID2;GRID1;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2
GO_Biological_Process_2021	regulation of NMDA receptor activity (GO:2000310)	9/32	7.002927238678582e-17	6.761715300457433e-15	0	0	181.319514661274	6744.65410438132	GRIA1;APP;GRIA2;GRIN2A;PTK2B;GRIN2B;GRIA3;GRIA4;GRIN1
GO_Biological_Process_2021	regulation of glutamate receptor signaling pathway (GO:1900449)	6/6	2.2906350755981245e-16	1.9905618806947704e-14	0	0	119688.0	4310267.975880144	NECAB2;PRNP;FRRS1L;FYN;SHANK3;CX3CL1
