Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Glutamatergic synapse	30/114	1.7928685569300888e-55	1.7390825002221862e-53	0	0	322.46753246753246	40649.72933824	GRIA1;GRIA2;GRIK5;SLC1A1;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GRM3;GRM2;GRM5;GRIN2A;GRM4;GRM7;GRM6;GRM8;HOMER3;GRIA3;GRIA4;HOMER1;HOMER2;GRIN2C;GRIN2B;GRIN1;GRIN3B;GRIN3A;GNAQ;PLCB1;SHANK3
KEGG_2021_Human	Neuroactive ligand-receptor interaction	26/341	1.3449146932508706e-32	6.522836262266722e-31	0	0	62.32698412698413	4573.952513619396	GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GRM3;GRM2;GRM5;GRIN2A;GRM4;GRM7;GRM6;GRM8;GRIA3;GRIA4;GRID2;GRID1;SSTR1;GRIN2C;GRIN2B;GRIN1;GRIN3B;GRIN3A
KEGG_2021_Human	Nicotine addiction	10/40	4.49384620754712e-18	1.4530102737735688e-16	0	0	158.0793650793651	6314.294134806802	GRIA1;GRIA2;GRIN2A;GRIN3B;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIA4;GRIN1
KEGG_2021_Human	Cocaine addiction	10/49	4.282611804201484e-17	1.0385333625188598e-15	0	0	121.54456654456656	4580.939783610168	GRM3;GRM2;GRIA2;GRIN2A;GRIN3B;GRIN3A;GRIN2C;GRIN2B;GRIN1;CDK5R1
KEGG_2021_Human	Long-term potentiation	10/67	1.2487559356195585e-15	2.4225865151019432e-14	0	0	83.08688387635756	2851.2617347429564	GRIA1;GRIA2;GRM5;GRIN2A;GNAQ;GRIN2C;PLCB1;GRIN2B;GRM1;GRIN1
KEGG_2021_Human	Amphetamine addiction	10/69	1.705675766747475e-15	2.4987771528892523e-14	0	0	80.26230831315577	2729.304947151924	GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIN1;GRIA4
KEGG_2021_Human	Spinocerebellar ataxia	12/143	1.8032412443530684e-15	2.4987771528892523e-14	0	0	45.382442748091606	1540.697201380835	GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GNAQ;GRIN2C;PLCB1;GRIN2B;GRIA3;GRM1;GRIN1
KEGG_2021_Human	Circadian entrainment	10/97	5.979750842190474e-14	7.250447896155948e-13	0	0	54.35413245758073	1654.9644282335853	GRIA1;GRIA2;GRIN2A;GNAQ;GRIN2C;PLCB1;GRIN2B;GRIA3;GRIN1;GRIA4
KEGG_2021_Human	Phospholipase D signaling pathway	11/148	1.1642497821197066e-13	1.2548025429512397e-12	0	0	38.79668862382054	1155.4247187288674	GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;PTK2B;FYN;PLCB1;GRM1
KEGG_2021_Human	Pathways of neurodegeneration	15/475	6.937684232067954e-13	6.729553705105915e-12	0	0	17.175088131609872	480.8447280311744	GRIA1;APP;PRNP;GRIA2;GRIN2C;GRIN2B;GRM1;GRIN1;GRM5;GRIN2A;GNAQ;PLCB1;GRIA3;CDK5R1;GRIA4
KEGG_2021_Human	Retrograde endocannabinoid signaling	10/148	4.39109845975547e-12	3.872150459966187e-11	0	0	34.17874396135266	893.8234301364181	GRIA1;GRIA2;GRM5;DAGLA;GNAQ;DAGLB;PLCB1;GRIA3;GRM1;GRIA4
KEGG_2021_Human	cAMP signaling pathway	11/216	7.400255326425632e-12	5.981873055527387e-11	0	0	25.838548483045805	662.2292492098935	GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;SSTR1;GRIN2C;GRIN2B;GRIA3;GRIN1;GRIA4
KEGG_2021_Human	Long-term depression	7/60	1.8340285870796532e-10	1.3684674842055875e-09	0	0	58.39203354297694	1309.1106179098024	GRIA1;GRIA2;GRID2;GNAQ;PLCB1;GRIA3;GRM1
KEGG_2021_Human	Dopaminergic synapse	8/132	1.7135472745581903e-09	1.1872434688010321e-08	0	0	29.067448680351905	586.7177367709992	GRIA1;GRIA2;GRIN2A;GNAQ;PLCB1;GRIN2B;GRIA3;GRIA4
KEGG_2021_Human	Alzheimer disease	10/369	3.2137263905478174e-08	2.0782097325542549e-07	0	0	12.99177609762568	224.1503558995542	APP;NCSTN;GRM5;GRIN2A;GNAQ;GRIN2C;PLCB1;GRIN2B;GRIN1;CDK5R1
KEGG_2021_Human	Huntington disease	9/306	8.437983778722637e-08	5.115527665850598e-07	0	0	13.848484848484848	225.56325364138112	GRIA1;GRIA2;GRM5;GNAQ;PLCB1;GRIN2B;GRIA3;GRIN1;GRIA4
KEGG_2021_Human	Calcium signaling pathway	8/240	1.8263098322279725e-07	1.042070904271255e-06	0	0	15.45141065830721	239.74096975795837	GRM5;GRIN2A;GNAQ;PTK2B;GRIN2C;PLCB1;GRM1;GRIN1
KEGG_2021_Human	Prion disease	8/273	4.866757647398934e-07	2.622641621098315e-06	0	0	13.504631217838766	196.29883201524083	PRNP;GRIN3B;GRIN2A;GRIN3A;FYN;GRIN2C;GRIN2B;GRIN1
KEGG_2021_Human	Alcoholism	6/186	8.516024178710933e-06	4.347654449131371e-05	0	0	14.32463768115942	167.219531368916	GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIN1
KEGG_2021_Human	Gap junction	4/88	8.061769159783546e-05	0.000390995804249502	0	0	19.70634920634921	185.7479572471366	GRM5;GNAQ;PLCB1;GRM1
KEGG_2021_Human	Aldosterone synthesis and secretion	4/98	0.00012251440089834845	0.0005658998517685617	0	0	17.601063829787233	158.53774500188584	DAGLA;GNAQ;DAGLB;PLCB1
KEGG_2021_Human	Rap1 signaling pathway	5/210	0.0002117510333159483	0.0009336295559839536	0	0	10.24545926310327	86.67760319647158	GRIN2A;GNAQ;PLCB1;GRIN2B;GRIN1
KEGG_2021_Human	Amyotrophic lateral sclerosis	6/364	0.00035042267471604776	0.0014778695411937	0	0	7.137478746660189	56.78842527327246	GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIN1
KEGG_2021_Human	FoxO signaling pathway	4/131	0.0003730684268705412	0.0015078182252684	0	0	13.005905511811024	102.66534979238496	HOMER1;HOMER2;HOMER3;GRM1
KEGG_2021_Human	Taste transduction	3/86	0.0014570647166265	0.005653411100511	0	0	14.65330710597492	95.70560386306668	GRM4;PLCB1;GRM1
KEGG_2021_Human	Chemokine signaling pathway	4/192	0.0015550456221767	0.0058015163596594	0	0	8.75886524822695	56.637015869005054	GNAQ;PTK2B;PLCB1;CX3CL1
KEGG_2021_Human	GnRH signaling pathway	3/93	0.0018240811047623	0.0065531802652573	0	0	13.508843537414966	85.19593881136177	GNAQ;PTK2B;PLCB1
KEGG_2021_Human	Human cytomegalovirus infection	4/225	0.0027668036371512	0.0095849983144167	0	0	7.438536953242836	43.81344791030961	GNAQ;PTK2B;PLCB1;CX3CL1
KEGG_2021_Human	Serotonergic synapse	3/113	0.0031733115481909	0.0102603740058174	0	0	11.041558441558442	63.52186028912642	APP;GNAQ;PLCB1
