Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314	14/142	6.030967606109511e-19	1.5318657719518159e-16	0	0	57.047697368421055	2393.2769402920158	GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRIN1;GRIN2A;PLCB1;GRIA3;GRIA4
Reactome_2016	Transmission across Chemical Synapses Homo sapiens R-HSA-112315	15/211	4.2898867811769575e-18	5.448156212094735e-16	0	0	40.85493656922228	1633.799998680799	GRIA1;GRIA2;GRIK5;SLC1A1;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRIN1;GRIN2A;PLCB1;GRIA3;GRIA4
Reactome_2016	Unblocking of NMDA receptor, glutamate binding and activation Homo sapiens R-HSA-438066	8/17	2.832999216573272e-17	1.877978330219865e-15	0	0	402.8080808080808	15348.039464300982	GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIN1;GRIA4
Reactome_2016	Neuronal System Homo sapiens R-HSA-112316	16/301	2.957446189322622e-17	1.877978330219865e-15	0	0	30.6635477582846	1167.0429896019457	GRIA1;GRIA2;KCNB1;GRIK5;SLC1A1;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRIN1;GRIN2A;PLCB1;GRIA3;GRIA4
Reactome_2016	Activation of NMDA receptor upon glutamate binding and postsynaptic events Homo sapiens R-HSA-442755	8/39	6.869051957932358e-14	3.1668212723120963e-12	0	0	116.81524926686215	3540.5726882116	GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIA4;GRIN1
Reactome_2016	Class C/3 (Metabotropic glutamate/pheromone receptors) Homo sapiens R-HSA-420499	8/40	8.569560967278013e-14	3.1668212723120963e-12	0	0	113.1590909090909	3404.7278756230803	GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1
Reactome_2016	SALM protein interactions at the synapse Homo sapiens R-HSA-8849932	7/22	8.727460199285305e-14	3.1668212723120963e-12	0	0	206.71259259259256	6215.789139401757	GRIA1;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIN1;GRIA4
Reactome_2016	Signaling by GPCR Homo sapiens R-HSA-372790	20/1293	2.4161290488406164e-11	6.178753159875582e-10	0	0	9.168794186959936	224.14281212606545	APP;DAGLA;SSTR1;GRIN2C;GRIN2B;CX3CL1;GRM1;GRIN1;GRM3;GRM2;GRM5;GRIN2A;GRM4;GRM7;GRM6;GNAQ;GRM8;FYN;DAGLB;PLCB1
Reactome_2016	Activation of Ca-permeable Kainate Receptor Homo sapiens R-HSA-451308	5/10	2.432579984202985e-11	6.178753159875582e-10	0	0	424.3191489361702	10370.140884526028	GRIK5;GRIK3;GRIK4;GRIK1;GRIK2
Reactome_2016	Ionotropic activity of Kainate Receptors Homo sapiens R-HSA-451306	5/10	2.432579984202985e-11	6.178753159875582e-10	0	0	424.3191489361702	10370.140884526028	GRIK5;GRIK3;GRIK4;GRIK1;GRIK2
Reactome_2016	Activation of Kainate Receptors upon glutamate binding Homo sapiens R-HSA-451326	6/30	1.2976668602227222e-10	2.996430749968831e-09	0	0	108.28260869565216	2465.084231023928	GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;PLCB1
Reactome_2016	Gastrin-CREB signalling pathway via PKC and MAPK Homo sapiens R-HSA-881907	12/432	8.370510782281853e-10	1.7717581155829924e-08	0	0	13.948571428571428	291.5409887403008	APP;GRM5;GRIN2A;DAGLA;GNAQ;FYN;GRIN2C;DAGLB;PLCB1;GRIN2B;GRM1;GRIN1
Reactome_2016	GPCR ligand binding Homo sapiens R-HSA-500792	11/447	1.6274062065032987e-08	3.17970135732183e-07	0	0	12.00671291116581	215.32470666097203	GRM3;APP;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;SSTR1;CX3CL1;GRM1
Reactome_2016	CREB phosphorylation through the activation of CaMKII Homo sapiens R-HSA-442729	4/15	5.4280416916976746e-08	9.848018497794352e-07	0	0	151.03787878787878	2526.72812861205	GRIN2A;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Signal Transduction Homo sapiens R-HSA-162582	22/2465	6.007854683834449e-08	1.0173300597959669e-06	0	0	5.254604993860008	87.37153839454545	APP;DAGLA;SSTR1;GRIN2C;GRIN2B;CX3CL1;GRM1;GRIN1;GRM3;GRM2;NCSTN;GRM5;GRIN2A;GRM4;GRM7;GRM6;GNAQ;GRM8;PTK2B;FYN;DAGLB;PLCB1
Reactome_2016	Ras activation uopn Ca2+ infux through NMDA receptor Homo sapiens R-HSA-442982	4/17	9.42805983656932e-08	1.4086630579344746e-06	0	0	127.78846153846152	2067.232717098908	GRIN2A;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Trafficking of GluR2-containing AMPA receptors Homo sapiens R-HSA-416993	4/17	9.42805983656932e-08	1.4086630579344746e-06	0	0	127.78846153846152	2067.232717098908	GRIA1;GRIA2;GRIA3;GRIA4
Reactome_2016	GPCR downstream signaling Homo sapiens R-HSA-388396	14/983	1.345722726520835e-07	1.8989642918682891e-06	0	0	7.215957851284558	114.16485575066848	APP;DAGLA;SSTR1;GRM1;GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GNAQ;GRM8;DAGLB;PLCB1
Reactome_2016	G alpha (i) signalling events Homo sapiens R-HSA-418594	8/240	1.8263098322279725e-07	2.4414878809784475e-06	0	0	15.45141065830721	239.74096975795837	GRM3;APP;GRM2;GRM4;GRM7;GRM6;GRM8;SSTR1
Reactome_2016	G alpha (q) signalling events Homo sapiens R-HSA-416476	7/191	6.037137201626797e-07	7.667164246066032e-06	0	0	16.708695652173912	239.2712907812513	APP;GRM5;DAGLA;GNAQ;DAGLB;PLCB1;GRM1
Reactome_2016	CREB phosphorylation through the activation of Ras Homo sapiens R-HSA-442742	4/27	6.820125575509625e-07	8.249104267521167e-06	0	0	72.19202898550725	1024.9981485374628	GRIN2A;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Trafficking of AMPA receptors Homo sapiens R-HSA-399719	4/31	1.213417375944316e-06	1.3400348412602445e-05	0	0	61.48456790123457	837.547081813792	GRIA1;GRIA2;GRIA3;GRIA4
Reactome_2016	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity Homo sapiens R-HSA-399721	4/31	1.213417375944316e-06	1.3400348412602445e-05	0	0	61.48456790123457	837.547081813792	GRIA1;GRIA2;GRIA3;GRIA4
Reactome_2016	Post NMDA receptor activation events Homo sapiens R-HSA-438064	4/35	2.0037767258158337e-06	2.120663701488424e-05	0	0	53.54032258064516	702.4745600275329	GRIN2A;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Interleukin-2 signaling Homo sapiens R-HSA-451927	6/252	4.7241019620841055e-05	0.0004799687593477451	0	0	10.44644750795334	104.04920772084762	GRIN2A;PTK2B;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Axon guidance Homo sapiens R-HSA-422475	8/515	5.085994282210239e-05	0.0004968625183390003	0	0	6.971848664156356	68.92672810555499	PRNP;NCSTN;GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1;CDK5R1
Reactome_2016	NCAM signaling for neurite out-growth Homo sapiens R-HSA-375165	6/266	6.376549818067707e-05	0.0005984371162796244	0	0	9.876923076923076	95.41402315742998	PRNP;GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Arachidonate production from DAG Homo sapiens R-HSA-426048	2/5	6.596944588909246e-05	0.0005984371162796244	0	0	265.93333333333334	2559.9590632869204	DAGLA;DAGLB
Reactome_2016	EPH-Ephrin signaling Homo sapiens R-HSA-2682334	4/95	0.00010859537949391756	0.0009511457376363814	0	0	18.18406593406593	165.98200262507677	NCSTN;FYN;GRIN2B;GRIN1
Reactome_2016	VEGFA-VEGFR2 Pathway Homo sapiens R-HSA-4420097	6/320	0.0001754282897170487	0.0014146612198064	0	0	8.155912489615066	70.53461653080932	GRIN2A;PTK2B;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	EPHB-mediated forward signaling Homo sapiens R-HSA-3928662	3/42	0.0001771488175005084	0.0014146612198064	0	0	31.25431711145997	269.9910560118697	FYN;GRIN2B;GRIN1
Reactome_2016	Free fatty acids regulate insulin secretion Homo sapiens R-HSA-400451	2/8	0.00018379456792760984	0.0014146612198064	0	0	132.94666666666666	1143.5662661624317	GNAQ;PLCB1
Reactome_2016	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion Homo sapiens R-HSA-434316	2/8	0.00018379456792760984	0.0014146612198064	0	0	132.94666666666666	1143.5662661624317	GNAQ;PLCB1
Reactome_2016	Signaling by VEGF Homo sapiens R-HSA-194138	6/328	0.0002004884134067681	0.0014977663825093	0	0	7.950040507696462	67.69264001906461	GRIN2A;PTK2B;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Signaling by ERBB4 Homo sapiens R-HSA-1236394	6/330	0.00020717515949737755	0.0015034997289238	0	0	7.900161030595813	67.00873878956513	NCSTN;GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Acetylcholine regulates insulin secretion Homo sapiens R-HSA-399997	2/10	0.00029440241859604355	0.0020472090865109	0	0	99.7	810.6171266936067	GNAQ;PLCB1
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	5/235	0.00035570431604660515	0.0020472090865109	0	0	9.120259019426458	72.42772297525867	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	5/235	0.00035570431604660515	0.0020472090865109	0	0	9.120259019426458	72.42772297525867	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	SOS-mediated signalling Homo sapiens R-HSA-112412	5/235	0.00035570431604660515	0.0020472090865109	0	0	9.120259019426458	72.42772297525867	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	5/235	0.00035570431604660515	0.0020472090865109	0	0	9.120259019426458	72.42772297525867	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	5/235	0.00035570431604660515	0.0020472090865109	0	0	9.120259019426458	72.42772297525867	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	5/236	0.0003626945232007549	0.0020472090865109	0	0	9.080316846274291	71.93381251599978	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	5/236	0.0003626945232007549	0.0020472090865109	0	0	9.080316846274291	71.93381251599978	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	5/236	0.0003626945232007549	0.0020472090865109	0	0	9.080316846274291	71.93381251599978	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	5/236	0.0003626945232007549	0.0020472090865109	0	0	9.080316846274291	71.93381251599978	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	ARMS-mediated activation Homo sapiens R-HSA-170984	5/239	0.0003842908653713655	0.0020647910008053	0	0	8.962538643389708	70.4823972115799	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	5/239	0.0003842908653713655	0.0020647910008053	0	0	8.962538643389708	70.4823972115799	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Frs2-mediated activation Homo sapiens R-HSA-170968	5/240	0.0003917016039675885	0.0020647910008053	0	0	8.923947487550928	70.00845926411363	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996	5/241	0.0003992200236842509	0.0020647910008053	0	0	8.885683375405698	69.539339038402	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Prolonged ERK activation events Homo sapiens R-HSA-169893	5/242	0.0004068471518903532	0.0020647910008053	0	0	8.847742167160428	69.07496890668024	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Signaling by Leptin Homo sapiens R-HSA-2586552	5/243	0.0004145840198467474	0.0020647910008053	0	0	8.81011979259789	68.61528246170737	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Interleukin receptor SHC signaling Homo sapiens R-HSA-912526	5/245	0.0004303911197297772	0.0021013153240521	0	0	8.73581560283688	67.70970093680418	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Signalling to RAS Homo sapiens R-HSA-167044	5/246	0.00043846343375890574	0.0021013153240521	0	0	8.699125982166505	67.26367889880873	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	VEGFR2 mediated cell proliferation Homo sapiens R-HSA-5218921	5/248	0.0004549508247616148	0.0021399538794342	0	0	8.626652657385518	66.38486327179906	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	5/253	0.0004982180508463738	0.0022597747306246	0	0	8.450583390528482	64.26223089232317	APP;DAGLA;GNAQ;FYN;DAGLB
Reactome_2016	Signalling to ERKs Homo sapiens R-HSA-187687	5/253	0.0004982180508463738	0.0022597747306246	0	0	8.450583390528482	64.26223089232317	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Signaling by Interleukins Homo sapiens R-HSA-449147	6/392	0.0005188032173973287	0.0023118599512091	0	0	6.610272583915296	50.00000864585201	GRIN2A;PTK2B;FYN;GRIN2C;GRIN2B;GRIN1
Reactome_2016	Interleukin-3, 5 and GM-CSF signaling Homo sapiens R-HSA-512988	5/261	0.000573811862702765	0.002512900226319	0	0	8.183178191489361	61.07276896937292	GRIN2A;FYN;GRIN2C;GRIN2B;GRIN1
