Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BioPlanet_2019	Neuroactive ligand-receptor interaction	26/272	3.180256609788552e-35	8.173259487156578e-33	0	0	80.08943089430895	6361.785119714997	GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GRM3;GRM2;GRM5;GRIN2A;GRM4;GRM7;GRM6;GRM8;GRIA3;GRIA4;GRID2;GRID1;SSTR1;GRIN2C;GRIN2B;GRIN1;GRIN3B;GRIN3A
BioPlanet_2019	Hypothetical network for drug addiction	10/32	3.4725007659177435e-19	4.4621634842043003e-17	0	0	215.64935064935065	9166.012133375838	GRIA1;GRIA2;GRIN2A;GRM5;GRIN2C;GRIN2B;GRM1;GRIA3;GRIA4;GRIN1
BioPlanet_2019	Transmission across chemical synapses	15/190	8.716455702754124e-19	7.467097052026034e-17	0	0	45.806177606177606	1904.7996952832184	GRIA1;GRIA2;GRIK5;SLC1A1;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRIN1;GRIN2A;PLCB1;GRIA3;GRIA4
BioPlanet_2019	Neuronal system	16/283	1.1076919108905793e-17	7.116920527471971e-16	0	0	32.76071577195173	1279.0329915594398	GRIA1;GRIA2;KCNB1;GRIK5;SLC1A1;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRIN1;GRIN2A;PLCB1;GRIA3;GRIA4
BioPlanet_2019	Unblocking of NMDA receptor, glutamate binding and activation	8/17	2.832999216573272e-17	1.4561615973186617e-15	0	0	402.8080808080808	15348.039464300982	GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIN1;GRIA4
BioPlanet_2019	Class C GPCRs (metabotropic glutamate and pheromone receptors)	8/19	8.77397031512033e-17	3.758183951643208e-15	0	0	329.53719008264466	12183.700782274303	GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1
BioPlanet_2019	Long-term potentiation	10/70	1.9861572198726428e-15	7.29203436438956e-14	0	0	78.92063492063492	2671.666686523287	GRIA1;GRIA2;GRM5;GRIN2A;GNAQ;GRIN2C;PLCB1;GRIN2B;GRM1;GRIN1
BioPlanet_2019	Activation of NMDA receptor upon glutamate binding and postsynaptic events	8/37	4.3274062402549077e-14	1.390179254681889e-12	0	0	124.88401253918497	3842.833793996831	GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIA4;GRIN1
BioPlanet_2019	Long-term depression	8/70	9.919969013240127e-12	2.8327022626696805e-10	0	0	58.316715542522	1477.5397907206825	GRIA1;GRIA2;GRID2;GRM5;GNAQ;PLCB1;GRIA3;GRM1
BioPlanet_2019	Activation of calcium-permeable kainate receptor	5/10	2.432579984202985e-11	6.251730559401671e-10	0	0	424.3191489361702	10370.140884526028	GRIK5;GRIK3;GRIK4;GRIK1;GRIK2
BioPlanet_2019	Activation of kainate receptors upon glutamate binding	6/30	1.2976668602227222e-10	3.031821664338542e-09	0	0	108.28260869565216	2465.084231023928	GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;PLCB1
