Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Neuronal System R-HSA-112316	22/386	1.6784092672161745e-24	4.112102704679628e-22	0	0	39.45494505494506	2159.929235462603	GRIA1;GRIA2;HOMER1;HOMER2;KCNB1;GRIK5;SLC1A1;GRIK3;GRIK4;GRIK1;GRIN2C;GRIN2B;GRM1;GRIN3B;GRM5;GRIN2A;GRIN3A;HOMER3;PLCB1;SHANK3;GRIA3;GRIA4
Reactome_2022	Protein-protein Interactions At Synapses R-HSA-6794362	12/88	4.3169467387642145e-18	5.288259754986162e-16	0	0	78.4421052631579	3136.4278264630584	GRIA1;GRM5;GRIN2A;HOMER1;HOMER2;HOMER3;GRIN2C;SHANK3;GRIN2B;GRIA3;GRM1;GRIA4
Reactome_2022	Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314	14/182	2.1048971871111638e-17	1.718999369474117e-15	0	0	43.37719298245614	1665.670327967355	GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIN2C;GRIN2B;GRIN3B;GRIN2A;GRIN3A;PLCB1;GRIA3;GRIA4
Reactome_2022	Transmission Across Chemical Synapses R-HSA-112315	15/246	4.342726841991686e-17	2.659920190719908e-15	0	0	34.6033696033696	1303.6973180451116	GRIA1;GRIA2;GRIK5;SLC1A1;GRIK3;GRIK4;GRIK1;GRIN2C;GRIN2B;GRIN3B;GRIN2A;GRIN3A;PLCB1;GRIA3;GRIA4
Reactome_2022	Neurexins And Neuroligins R-HSA-6794361	9/57	2.140229642351716e-14	1.048712524752341e-12	0	0	86.77325581395348	2731.212364385261	GRM5;GRIN2A;HOMER1;HOMER2;HOMER3;GRIN2C;SHANK3;GRIN2B;GRM1
Reactome_2022	Unblocking Of NMDA Receptors, Glutamate Binding And Activation R-HSA-438066	7/21	5.962220215095916e-14	2.4345732544974986e-12	0	0	221.48888888888888	6744.502422504916	GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIA4
Reactome_2022	Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499	8/40	8.569560967278013e-14	2.999346338547304e-12	0	0	113.1590909090909	3404.7278756230803	GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1
Reactome_2022	Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755	9/74	2.544190470447185e-13	7.791583315744502e-12	0	0	64.02397137745974	1856.681961531405	GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIA4
Reactome_2022	Synaptic Adhesion-Like Molecules R-HSA-8849932	6/21	1.207106448232291e-11	3.2860119979656806e-10	0	0	173.3304347826087	4357.563511158968	GRIA1;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIA4
Reactome_2022	GPCR Downstream Signaling R-HSA-388396	15/619	3.005843572489108e-11	7.364316752598312e-10	0	0	12.983712189010202	314.5677919341748	APP;DAGLA;SSTR1;CX3CL1;GRM1;GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GNAQ;GRM8;DAGLB;PLCB1
Reactome_2022	Signaling By GPCR R-HSA-372790	15/689	1.3468617326665323e-10	2.999828404575458e-09	0	0	11.593151014516	263.489990512415	APP;DAGLA;SSTR1;CX3CL1;GRM1;GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GNAQ;GRM8;DAGLB;PLCB1
