Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2019_Human	GPCRs, Class C Metabotropic glutamate, pheromone WP501	8/15	7.52817997046678e-18	6.173107575782759e-16	0	0	517.9480519480519	20421.592791640705	GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1
WikiPathways_2019_Human	Synaptic signaling pathways associated with autism spectrum disorder WP4539	9/50	6.041604836264607e-15	2.4770579828684893e-13	0	0	101.62393647192286	3327.1785250810017	GRIN2A;GRIN3B;GRIN3A;HOMER1;GRIN2C;SHANK3;GRIN2B;GRM1;GRIN1
WikiPathways_2019_Human	Common Pathways Underlying Drug Addiction WP2636	8/42	1.310092764546492e-13	3.580920223093745e-12	0	0	106.49197860962566	3158.9256872792403	GRIA1;GRIA2;GRM5;GRIN2A;GRM1;GRIA3;GRIA4;GRIN1
WikiPathways_2019_Human	Alzheimers Disease WP2059	9/83	7.435476714467919e-13	1.5242727264659233e-11	0	0	56.21181646763042	1569.846708006569	APP;NCSTN;GRIN2A;GNAQ;GRIN2C;PLCB1;GRIN2B;GRIN1;CDK5R1
WikiPathways_2019_Human	Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380	8/144	3.41936811005148e-09	5.607763700484428e-08	0	0	26.486631016042782	516.3253543172285	GRIA1;GRIA2;PTK2B;FYN;GRIN2B;GRIA3;GRIN1;CDK5R1
WikiPathways_2019_Human	Phosphodiesterases in neuronal function WP4222	5/53	2.546672440128595e-07	3.480452334842413e-06	0	0	44.104609929078016	669.6538798332202	GRIA1;GRIN2A;GRIN2C;GRIN2B;GRIN1
WikiPathways_2019_Human	Cell-type Dependent Selectivity of CCK2R Signaling WP3679	3/13	4.654441322927014e-06	5.452345549714501e-05	0	0	122.06938775510204	1498.7299391160925	DAGLA;GNAQ;PLCB1
WikiPathways_2019_Human	NO/cGMP/PKG mediated Neuroprotection WP4008	4/47	6.670557137884968e-06	6.837321066332093e-05	0	0	38.575581395348834	459.7363406409658	GRIN2A;GRIN2C;GRIN2B;GRIN1
WikiPathways_2019_Human	Splicing factor NOVA regulated synaptic proteins WP4148	3/42	0.0001771488175005084	0.001614022559449	0	0	31.25431711145997	269.9910560118697	GRIK2;GRIN2B;GRIN1
WikiPathways_2019_Human	Rett syndrome causing genes WP4312	3/48	0.0002639775248230721	0.0021646157035491	0	0	27.07891156462585	223.1206613800885	GRIN2A;GRIN2B;SHANK3
WikiPathways_2019_Human	MECP2 and Associated Rett Syndrome WP3584	3/62	0.0005626130204912686	0.0041940243345712	0	0	20.63887928052577	154.43905197450593	GRIA1;GRID1;GRIN1
WikiPathways_2019_Human	Serotonin and anxiety WP3947	2/17	0.0008794460728881121	0.0060095481647354	0	0	53.15466666666666	374.0078389317888	FMR1;GRM1
WikiPathways_2019_Human	IL-7 Signaling Pathway WP205	2/25	0.001914326921873	0.0112124862566848	0	0	34.65217391304348	216.8667907992902	PTK2B;FYN
WikiPathways_2019_Human	MTHFR deficiency WP4288	2/25	0.001914326921873	0.0112124862566848	0	0	34.65217391304348	216.8667907992902	GRIN2A;GRIN1
WikiPathways_2019_Human	Cannabinoid receptor signaling WP3869	2/29	0.0025735692590397	0.0140688452827503	0	0	29.512592592592597	175.96769789069634	DAGLA;DAGLB
WikiPathways_2019_Human	Prion disease pathway WP3995	2/33	0.0033247623997074	0.0170111627862101	0	0	25.69935483870968	146.64969507968098	PRNP;FYN
WikiPathways_2019_Human	BDNF-TrkB Signaling WP3676	2/34	0.0035267044800679	0.0170111627862101	0	0	24.895	140.5918093795177	HOMER1;GRIN1
